ER36001,ER36002,ER36007,ER36016,ER36017,ER36023,ER36028,ER36109,ER37595,ER40565,ER40619,ER40921,ER40933,ER41027A1,ER41027A5,ER41027B7,ER41027D1,ER41027D2,ER41027D3,ER41037,S810,S811,S819,S816,S817
7,148,0,3,55,1,1,3,800,1,509,23000,0,7280,10338,22260,1230,0,2498.26,9,0,0,0,30800,150800
7,5399,0,1,53,4,1,1,40000,1,687,0,0,600,15340,3300,0,0,1750,12,1,30000,100000,2845000,2920000
7,720,0,1,49,4,5,5,0,1,517,0,0,1020,3652,4056,0,0,1570.24,10,0,0,0,-30500,-30500
7,189,0,1,32,5,5,1,1400,1,168,35000,0,7800,10160,12840,0,0,0,12,0,0,0,11400,11400
7,1130,3,2,22,4,5,1,0,1,0,3549,0,11960,12220,1740,0,5200,0,10,0,0,0,5000,5000
7,196,0,4,34,1,5,3,9,1,77,25000,0,5200,7080,2640,150,0,0,11,0,0,0,1509,1509
7,5740,2,2,30,4,5,1,999999998,1,999,0,0,8960,15340,17520,0,5225,2636.32,11,0,0,0,74000,74000
7,1210,0,1,61,3,1,5,0,1,287,0,0,1200,4796,2128,0,0,998.26,8,0,0,0,3000,73000
7,5570,1,2,45,1,1,1,5000,1,77,33000,0,9100,13366,4280,0,0,7800,12,0,0,0,50000,132000
7,423,3,1,41,5,5,6,0,1,827,0,0,1300,1524,0,0,0,1030,12,0,0,0,300,300
7,7756,0,4,40,4,5,1,0,1,77,25200,10000,10504,11292,5300,0,1401.49,7100,10,1,80000,0,84000,84000
7,7878,0,2,23,1,8,1,1200,1,0,34000,20000,9620,7680,34716,175,0,2260,12,0,0,0,1300,1300
7,8069,6,3,34,1,5,1,40000,1,999,34000,26500,3900,9120,8136,3000,0,0,17,1,100000,0,840000,840000
7,126,0,1,85,3,1,6,500000,1,358,0,0,2600,7369,914.8,0,0,1736.92,12,1,22000,0,622000,762000
7,997,0,2,52,1,1,1,10000,1,748,62500,0,3800,30904,2340,6000,0,1500,17,1,175000,0,296500,371500
7,6207,5,3,32,1,1,1,8000,1,968,67000,33000,8800,27910,15679.08,0,0,125,16,0,0,10000,11000,31000
7,4764,0,1,26,2,1,1,0,1,968,35000,0,8320,27196,8196,0,0,0,16,1,7000,14000,29000,34000
7,6467,5,1,25,2,1,1,15000,1,968,71000,0,8840,27125.24,17600,0,0,0,16,1,2000,10000,37000,47000
7,5967,5,1,23,2,1,1,6000,1,0,5005,0,3640,5992,6960,45000,0,87,17,1,200,0,-38800,-36300
7,4264,0,2,62,1,1,1,0,1,77,5,25400,8320,22444,22100,0,0,3211,11,0,0,0,10000,50000
7,724,1,5,33,1,1,1,7000,1,489,46000,51000,10920,26388,17076,0,0,3265,99,0,0,0,-13000,9000
7,178,0,2,52,1,5,5,150,1,787,0,35213,3900,10392,4080,0,0,2700,12,0,0,0,20150,20150
7,534,0,1,51,4,5,1,0,1,929,13000,0,3640,9120,1116,0,0,1352,9,0,0,0,1500,1500
7,1154,1,3,49,4,5,5,999999998,1,0,0,18513,6740,9000,8460,0,0,25,11,0,0,0,3400,3400
7,1411,0,4,35,5,5,1,0,1,999,26532,0,520,14460,0,0,0,0,12,0,0,0,0,0
7,904,0,4,33,1,5,1,0,1,0,46068,800,15022.98,11379.3,0,0,0,1114.04,11,0,0,0,0,0
7,887,0,1,32,5,5,1,18,1,17,21350,0,2080,3600,4800,0,0,0,10,0,0,0,18,18
7,820,3,1,32,5,5,2,0,1,868,19884,0,1560,3000,19804,0,0,0,11,0,0,0,3000,3000
7,211,0,2,30,1,5,1,200,1,878,36500,1800,3640,11100,4060,0,0,2300,10,0,0,0,2700,2700
7,1504,0,4,26,2,5,1,0,1,777,2335,0,1200,11316,7612,0,0,0,11,0,0,0,6000,6000
7,504,0,1,23,2,5,3,0,1,0,8000,0,2950,5530,5339.41,0,0,150,12,0,0,0,2500,2500
7,482,1,3,51,4,1,5,0,1,17,0,0,4080,4358,3000,0,0,0,11,0,0,0,500,45500
7,2208,9,4,36,4,1,1,3000,1,878,36000,0,6160,13304,6804,0,0,3334,12,0,0,0,19000,41000
7,170,0,3,37,1,5,1,0,1,999,34000,0,1220,9409.3,0,0,0,0,8,0,0,0,0,0
7,800,1,5,31,1,5,1,0,1,999,24000,9000,1300,12600,15020,0,7800,5,14,0,0,0,-16500,-16500
7,5963,0,1,63,4,1,1,0,2,786,3900,0,1820,12388,2448,0,0,1590.95,14,0,0,0,40000,66000
7,6742,0,4,43,5,5,1,300,2,148,27400,0,2130,11880,6756,1850,0,2552.5,14,0,0,0,2300,2300
7,6917,0,1,41,2,5,1,2700,2,768,26300,0,3640,6780,1500,0,0,1000,14,0,0,0,5700,5700
7,7291,1,1,60,4,5,1,1200,2,868,14000,0,3900,9900,4444,0,0,0,99,0,0,0,4700,4700
7,8022,0,1,31,2,8,3,0,2,866,0,0,5200,1310,1440,0,0,32.5,11,0,0,0,-1495,-1495
7,6733,0,2,43,5,5,1,1000,2,868,34000,0,4420,10188,180,0,0,2034,12,0,0,0,1000,1000
7,6905,1,3,41,1,1,1,10000,2,999,38000,100000,10100,33800,14400,0,2500,6409.7,16,1,10000,5000,10000,90000
7,1005,0,2,88,3,1,4,999999999,1,786,0,0,7220,12002.29,8394.38,0,0,3013.62,12,1,300000,32000,398000,698000
7,667,0,1,54,4,1,1,999999999,1,999,62748,0,2960,4940,2058.94,0,0,1440,12,0,0,200000,240000,590000
7,436,0,2,78,1,1,4,73000,1,969,0,0,7460,7086,1680,0,0,130,10,0,0,11000,102000,352000
7,2121,0,1,24,2,1,1,2000,1,0,15000,0,3120,5296,2940,0,0,310,12,0,0,0,-8000,52000
7,792,0,2,58,1,1,4,35000,1,969,65000,0,8400,9614,17260,0,0,6470,12,0,0,0,315000,505000
7,1020,0,2,53,1,1,1,8000,1,28,95000,0,10200,13504,10272,0,0,2627,12,0,0,0,57000,217000
7,2233,0,3,32,1,1,1,25000,1,999,116000,2600,9880,20368,14709.07,0,270,2341.44,99,0,0,0,113500,201500
7,7369,0,1,55,2,5,5,0,1,868,0,0,4040,3300,96,0,0,0,16,0,0,0,-11500,-11500
7,3621,1,3,44,1,1,4,15000,1,877,0,33000,6400,18142,15996,0,0,1980,12,0,0,0,52000,111500
7,2668,0,4,45,1,1,1,13000,3,497,62000,20000,8700,19645,3780,200,0,2830,17,1,35000,75000,283000,551000
7,4149,6,2,21,2,5,3,7000,1,467,22000,4000,5720,4452,5880,0,0,1360,12,0,0,0,12000,12000
7,1389,0,1,69,4,5,5,120,1,827,0,0,2400,5580,0,0,0,0,12,0,0,0,-4880,-4880
7,7254,5,4,44,1,5,3,382,1,18,0,0,4140,6650,720,0,0,0,12,0,0,0,-988,-988
7,3618,1,3,48,1,1,1,60000,7,137,45000,42000,11600,41948,8800,300,0,1119,12,0,0,80000,283000,683000
7,390,1,6,33,1,1,1,100,1,707,30000,0,5560,21966,4950,0,0,0,14,0,0,0,-32900,32100
7,1156,0,2,27,1,5,1,200,1,877,60000,0,5980,22968,12300,0,0,10,12,0,0,0,1200,1200
7,1894,0,3,27,1,1,1,17000,1,339,23000,14000,3080,16260,1400,100,0,2006,13,0,0,0,39000,86000
7,4828,0,1,85,3,1,4,5025,1,868,0,0,2460,4576,1536,0,0,3730.5,12,0,0,0,10025,160025
7,535,2,3,50,1,1,1,4000,1,18,48000,44500,8320,30624,8232,0,0,6500,12,0,0,0,124000,254000
7,375,0,2,53,1,1,1,88000,1,377,0,57000,4640,20360,21740,0,0,2300,12,1,150000,350000,1958000,3208000
7,1479,0,1,54,4,5,8,8000,1,18,50000,0,2080,5580,21800,0,0,200,12,0,0,0,42600,42600
7,293,0,3,59,1,1,1,3000,1,27,63000,10000,10400,15911.99,11100,0,0,4900,13,0,0,0,23000,198000
7,911,1,5,34,1,1,1,10000,1,77,0,746,6240,24440,15239.42,0,0,8501.21,14,0,0,10000,200000,527450
7,7743,2,4,33,1,5,1,680,1,27,8530,21500,9880,14904.73,17876,250,0,650,12,0,0,0,-14120,-14120
7,1497,1,3,26,4,1,1,30000,1,707,104000,0,11700,65740,28500,8000,8000,1100,16,1,700000,100000,865000,1128000
7,1047,5,1,21,2,8,1,0,1,697,15000,0,2699.31,982.3,2400,350,0,400,13,0,0,0,0,0
7,940,0,5,35,1,1,1,200,1,969,80000,1500,9360,26360,7960,0,0,25,12,0,0,0,30200,60200
7,7955,4,5,31,4,1,1,3000,1,509,72000,45200,15800,22248,20556,400,4800,600,12,0,0,0,8000,39000
7,448,4,2,23,2,8,1,0,9,999,61000,0,2043.21,2400,5628,0,0,823.48,99,0,0,0,2500,2500
7,1138,0,1,74,3,1,4,2000,1,637,0,0,1560,8936,749.74,0,0,300,13,0,0,90000,96000,381000
7,998,0,1,55,2,1,2,0,1,377,0,0,2400,4446.77,2782.47,0,0,0,12,0,0,0,23000,24500
7,7587,5,2,54,3,5,1,1500,1,999,37876,0,4680,11705.62,4572.86,0,0,1510.07,12,0,0,0,5500,5500
7,1732,0,2,34,4,5,1,999999998,9,999,20580,15000,3080,6362,3348,0,0,0,99,0,0,0,20,20
7,2725,0,1,74,4,1,4,30,2,819,0,0,1540,12604,0,0,0,87.5,12,0,0,0,30,90030
7,2585,0,2,49,4,5,1,999999999,2,699,23000,0,4420,50000,14600,1100,0,0,13,0,0,0,12010,12010
7,3648,2,1,42,4,8,2,0,2,877,31000,0,1900,3600,7800,0,0,3105,12,0,0,0,5000,5000
7,2831,0,2,41,4,1,1,2500,2,699,45000,0,3240,15370,4032,0,0,752,14,0,0,0,-3500,76500
7,5288,3,3,33,4,5,1,70,2,827,70000,0,9360,22720,3216,0,0,1274,14,0,0,0,-130,-130
7,159,0,1,57,4,1,1,3000,1,687,95000,0,2500,29547.56,3462,320,0,1000,17,0,0,38000,48500,157500
7,5307,0,1,37,2,5,1,10000,1,517,87000,0,3640,16440,6720,0,0,1840,14,0,0,0,13900,13900
7,3198,0,4,36,2,5,6,1500,1,999,45000,40000,7800,14160,5700,0,12000,1655.6,12,0,0,0,3500,3500
7,229,0,1,87,3,1,4,1000,1,786,0,0,0,2608.68,22,0,0,3275.51,12,0,0,0,1000,151000
7,4438,0,1,80,4,5,4,1530,2,819,0,0,2497.91,4299.26,0,0,0,20400,11,0,0,0,1660,1660
7,575,0,2,60,1,1,4,15000,1,917,0,56500,9360,14700,13994.48,0,0,5850,16,0,0,0,44900,226900
7,3989,0,2,61,1,1,1,22000,1,667,40000,47000,55640,16208,22476,0,0,4750,16,0,0,10000,441000,528000
7,1387,0,2,62,1,1,1,999999999,1,786,0,26500,4160,6308,4136,0,0,7575,17,1,216000,42000,563000,653000
7,959,0,1,39,4,1,1,1000,1,868,32000,0,2320,34088,4620,0,0,1625,12,0,0,52000,58500,103500
7,1214,0,4,36,1,1,1,14000,1,17,52659,7620,9600,12430.7,4488,100,250,575,15,1,3000,0,49000,141000
7,1428,0,1,35,2,1,1,100000,4,57,550000,0,41200,352011.84,28800,0,0,700,15,0,0,150000,950000,1460000
7,1985,0,3,37,4,1,1,7300,4,817,18260,0,3600,9628,3128,0,0,562,16,0,0,0,9300,57300
7,714,0,2,74,1,1,4,75000,1,159,3503,0,3900,6186,7068,0,0,1233,99,0,0,1000,83500,168500
7,3552,0,2,46,1,1,1,2000,1,467,65000,32000,9000,13956,2160,12000,0,3425,12,0,0,36000,26000,87000
7,5236,3,1,45,4,8,3,0,1,999,400,0,0,40,480,0,0,0,99,0,0,0,0,0
7,2217,0,2,44,3,1,1,2000,1,827,77000,0,2680,16460,14464,0,0,625,12,1,10000,2000,212000,244000
7,7660,1,2,36,4,5,1,5000,1,999,20125,0,3900,15180,10080,0,0,910,14,0,0,0,48000,48000
7,2846,0,1,25,2,8,1,1000,1,0,27000,0,3274.41,3220,5244,0,0,1370,16,0,0,0,-26000,-26000
7,786,1,1,25,2,5,1,0,1,0,4840,0,1080,8540,720,0,0,0,8,0,0,0,-40000,-40000
7,802,1,2,24,2,5,3,2200,1,389,1300,0,5200,5127.71,984,6000,0,0,13,0,0,0,-6800,-6800
7,3462,5,3,21,2,5,6,1000,1,878,3200,0,6240,8432,1560,0,0,0,9,0,0,0,4032,4032
7,2199,1,4,37,1,1,1,3000,1,977,80000,44000,13000,16440,18960,12000,0,80,12,0,0,0,-32000,-10000
7,732,0,4,36,1,1,1,4000,1,77,64000,25000,8320,24428,8280,500,0,7300,13,0,0,0,11000,48000
7,1340,1,5,29,1,1,1,2500,1,579,26000,40000,11440,24580,14878.02,0,3000,3200,12,0,0,900,29400,48400
7,197,0,1,69,4,5,4,200,1,868,0,0,1040,3540,396,0,0,639.5,8,0,0,0,700,700
7,294,0,3,51,1,1,1,700,1,877,0,19000,11440,27564,5600,0,0,4400,11,0,0,0,11700,23700
7,722,0,1,44,4,5,5,0,1,0,0,0,720,6054,1068,0,0,342,10,0,0,0,1500,1500
7,1426,0,3,27,1,1,1,3000,1,877,30000,27000,10920,17425.9,6960,0,0,1250,11,0,0,0,29000,44000
7,602,1,2,30,4,8,1,0,1,868,400,0,300,0,240,0,0,25,9,0,0,0,-20000,-20000
7,460,1,4,26,1,1,1,100,1,868,41000,18000,2900,19272,7032,0,7000,3050,16,0,0,500,-23400,-7400
7,212,0,2,46,1,1,1,200,1,77,23400,27000,6120,14052,11088,0,0,7350,14,0,0,5000,1000,2812
7,220,1,4,26,2,5,1,3100,1,868,26500,0,12220,16622,4740,200,1700,7342.18,12,0,0,0,3100,3100
7,488,0,1,22,2,5,1,180,1,868,21000,0,2860,7080,12228,0,0,202.5,12,0,0,0,3680,3680
7,308,0,4,52,1,1,5,40,1,0,0,0,5040,9393.38,2916,0,0,750,10,0,0,0,-10960,15040
7,8300,0,2,31,1,1,1,2000,1,999,45000,19000,7280,23316,12885.4,250,0,2379.22,99,0,0,0,-13000,25000
7,422,0,4,27,1,1,1,6000,1,497,44000,480,4500,11040,6564,150,0,2050,16,0,0,0,9000,20000
7,888,4,5,36,2,5,6,0,2,999,12000,13000,6240,9360,3425.18,0,0,0,12,0,0,0,0,0
7,12,1,2,29,4,8,3,0,1,868,5000,0,0,0,5765.25,3500,1200,13205.51,7,0,0,0,-18500,-18500
7,7,0,2,51,1,1,3,200,1,17,20000,18000,7280,12866,8076,0,0,5500.5,8,0,0,0,-4200,30800
7,751,1,5,52,1,1,1,0,1,77,36000,0,6400,18336,7656,0,0,840,8,0,0,0,6000,29000
7,5584,0,3,39,1,1,1,3000,1,497,35000,32000,5200,5487,15600,200,0,5120,14,0,0,0,-7000,13000
7,163,3,1,51,5,1,6,300,1,868,0,0,2600,8793.77,1500,814,0,5008.61,11,0,0,0,16300,37300
7,172,3,1,28,4,8,3,0,1,487,12000,0,0,0,1392,0,0,812.14,10,0,0,0,-25000,-25000
7,563,0,2,71,1,1,1,20000,1,968,11300,9500,4940,4172,4222.25,0,0,3000,14,1,6700,90000,218200,358200
7,6252,0,3,42,1,1,1,10000,1,799,99000,4000,9000,29590,2861.91,0,0,7250,17,0,0,0,275000,455000
