,Unnamed: 0,familyID,year,composition,headCount,ageHead,liquidWealth,laborIncome,costPerPerson,totalExpense,participation,investmentAmount,annuityIRA,wealthWithoutHomeEquity,wealthWithHomeEquity,HomeEquity,maritalStatus,employmentStatus,education,race,industry,ownership,skillLevel,financeExperience,ageGroup,decadeGroup
1,1,2,1999,0,4,47,0.0,26.14,4.17,16.68,1,9.39,0.0,23.48,30.53,7.05,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
2,2,6129,1999,3,1,45,8.81,0.0,16.7,16.7,1,8.22,19.96,447.97,485.55,37.58,Divorced,employed,college,White,finance,owner,High,Yes,40-60,1990s
3,3,6944,1999,0,2,39,14.09,35.23,10.29,20.58,0,0.0,0.0,31.7,49.32,17.61,Divorced,employed,college,White,noneFinance,owner,High,No,20-40,1990s
4,4,3818,1999,4,4,34,0.0,48.85,4.45,17.8,0,0.0,0.0,14.09,23.48,9.39,Married,employed,highSchool,White,noneFinance,owner,Low,No,20-40,1990s
7,7,2122,1999,2,1,50,7.05,58.71,29.29,29.29,1,14.09,0.0,38.75,97.46,58.71,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
8,8,2560,1999,0,1,39,3.52,42.27,11.39,11.39,1,7.75,4.7,22.43,128.11,105.68,Divorced,employed,college,White,noneFinance,owner,High,No,20-40,1990s
9,9,6906,1999,0,3,55,23.48,70.45,10.95,32.85,0,0.0,234.85,466.17,571.86,105.68,Married,retired,college,White,noneFinance,owner,High,No,40-60,1990s
10,10,4920,1999,0,2,41,11.74,95.11,13.42,26.83,0,0.0,0.0,23.48,46.97,23.48,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
11,11,376,1999,0,1,53,0.0,0.0,5.52,5.52,0,0.0,0.0,9.39,56.36,46.97,Widowed,unemployed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
12,12,379,1999,0,4,36,5.87,55.19,8.59,34.38,1,3.52,0.0,35.81,39.34,3.52,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
13,13,374,1999,3,2,33,0.0,0.11,6.79,13.57,0,0.0,0.0,-0.7,-0.7,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,20-40,1990s
14,14,4588,1999,0,5,32,0.0,65.17,7.34,36.7,0,0.0,0.0,17.61,51.67,34.05,Married,employed,highSchool,White,noneFinance,owner,Low,No,20-40,1990s
16,17,286,1999,1,2,54,0.7,21.14,21.76,43.51,0,0.0,0.0,35.34,85.84,50.49,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
18,19,6278,1999,1,6,45,0.01,22.97,2.85,17.07,0,0.0,0.0,37.58,37.58,0.0,Married,unemployed,college,White,noneFinance,renter,High,No,40-60,1990s
19,20,2579,1999,1,2,43,0.0,4.7,7.48,14.96,0,0.0,0.0,2.0,2.0,0.0,Divorced,employed,highSchool,White,noneFinance,renter,Low,No,40-60,1990s
22,23,2296,1999,5,1,55,0.12,0.0,17.17,17.17,0,0.0,0.0,5.52,58.36,52.84,Divorced,unemployed,college,Black,noneFinance,owner,High,No,40-60,1990s
23,24,1577,1999,3,4,35,0.0,5.4,2.15,8.6,0,0.0,0.0,0.0,0.0,0.0,Separated,employed,college,Black,noneFinance,renter,High,No,20-40,1990s
25,26,4557,1999,2,1,37,0.0,22.31,17.34,17.34,0,0.0,0.0,4.7,4.7,0.0,Separated,employed,postGraduate,Black,noneFinance,renter,High,No,20-40,1990s
27,28,2268,1999,1,3,50,10.57,115.67,22.94,68.83,0,0.0,0.0,71.63,169.09,97.46,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
28,29,506,1999,0,2,45,0.0,82.2,12.45,24.89,0,0.0,0.0,45.8,92.77,46.97,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s
29,30,193,1999,0,1,46,0.0,11.98,6.78,6.78,0,0.0,0.0,-3.29,-3.29,0.0,neverMarried,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s
30,31,1579,1999,0,4,35,1.17,74.34,8.05,32.2,0,0.0,0.0,8.22,-7.05,-15.27,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
31,32,669,1999,0,4,37,14.09,66.93,6.24,24.96,1,41.1,58.71,176.14,241.89,65.76,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
33,34,3664,1999,0,4,41,1.17,42.27,5.49,21.98,0,0.0,0.0,4.7,22.31,17.61,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
34,35,754,1999,1,4,40,14.09,50.49,10.76,43.05,1,4.11,22.31,49.91,85.13,35.23,Married,employed,college,Latino,noneFinance,owner,High,No,40-60,1990s
36,38,4612,1999,2,2,42,5.87,29.36,9.19,18.37,1,1.17,0.0,30.53,30.53,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s
37,40,1548,1999,0,1,46,7.05,30.53,21.55,21.55,0,0.0,0.0,22.31,22.31,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s
38,41,1741,1999,1,4,51,0.0,61.06,12.01,48.05,0,0.0,0.0,-1.17,43.45,44.62,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
43,46,629,1999,0,1,47,0.0,7.63,9.21,9.21,0,0.0,0.0,7.05,7.05,0.0,neverMarried,unemployed,college,White,noneFinance,renter,High,No,40-60,1990s
45,48,3056,1999,2,3,34,0.0,55.19,7.66,22.97,0,0.0,0.0,2.94,2.94,0.0,Married,unemployed,college,Black,noneFinance,renter,High,No,20-40,1990s
46,49,547,1999,0,2,33,5.87,39.92,10.63,21.25,0,0.0,0.0,27.01,113.9,86.89,Divorced,employed,college,Black,finance,owner,High,Yes,20-40,1990s
47,50,702,1999,0,3,36,1.17,24.66,9.42,28.25,0,0.0,0.0,6.46,35.81,29.36,Married,unemployed,college,Black,noneFinance,owner,High,No,20-40,1990s
48,51,112,1999,0,1,48,0.15,78.09,28.27,28.27,0,0.0,0.0,4.85,10.72,5.87,Divorced,employed,postGraduate,White,finance,owner,High,Yes,40-60,1990s
