ER17001,ER17002,ER17007,ER17012,ER17013,ER17024,ER17043,ER17216,ER19216,ER19989,ER20043,ER20443,ER20447,ER20456A1,ER20456A5,ER20456B6,ER20456C9,ER20456D1,ER20456D2,ER20457,S510,S511,S519,S516,S517
6,96,1,3,49,1,1,1,50,1,648,23000,3000,4680,5444,5060,25,0,0,9,1,15000,0,23050,113050
6,5987,0,1,47,4,1,1,10000,1,707,0,0,2040,10080,1520,0,0,1000,12,1,10000,35000,425000,493000
6,7091,0,2,41,4,1,1,15000,1,319,50000,0,3040,12228,2084,100,0,2761.5,12,0,0,0,24000,41000
6,5964,1,5,36,1,1,1,0,1,67,30160,0,5200,7122,9744,250,0,950,11,0,0,0,28000,148000
6,5479,5,2,26,1,1,1,50,1,319,27000,0,7020,4620,8172,0,0,0,12,0,0,0,-4150,-1150
6,5665,1,1,25,2,5,1,0,1,139,23000,0,1820,2052,2768.34,0,0,0,10,0,0,0,4000,4000
6,6754,0,1,24,2,8,1,0,1,0,20000,0,4940,600,6471.12,0,0,988,13,0,0,0,29000,29000
6,6522,0,1,41,4,1,1,25000,1,67,38000,0,5460,4690,6434.39,0,0,122.5,12,0,0,6000,190500,300500
6,6872,1,4,57,1,1,4,999999998,1,448,6000,0,8060,18180,13020,1000,0,1940.5,14,0,0,0,264500,329500
6,5599,0,2,43,4,1,1,4000,1,777,75000,14000,7280,16476,32640,12000,0,2259,16,0,0,0,10000,23000
6,5480,8,1,26,4,1,1,500,1,757,23000,0,4940,11012,7900,0,0,1500,12,0,0,0,-1100,11900
6,7308,4,3,31,1,1,1,11000,1,417,1,26000,5720,12004,10185.71,0,0,2840,12,1,24000,15000,107000,172641
6,285,4,4,28,1,5,1,4000,1,69,30000,400,6760,8916,4140,280,0,892.29,11,0,0,0,11500,11500
6,444,1,3,55,3,1,5,0,1,157,0,0,1810.66,2228,4000,0,0,0,8,0,0,0,6500,61500
6,1448,0,4,38,1,1,1,5000,1,68,39000,24000,7800,12416,9300,0,0,4540,12,0,0,34000,104000,154000
6,443,4,2,24,1,5,1,10,1,669,13246,7200,1870,2256,2217.32,700,0,0,14,0,0,0,-18090,-18090
6,279,1,4,29,4,5,1,999999998,1,838,25601,8000,5200,2783.89,3972,712,0,1251.02,12,0,0,4500,22888,22888
6,129,0,2,78,1,1,4,17000,1,407,0,0,2600,5984,1360,0,0,4800,8,1,40000,0,159000,284000
6,6438,1,3,46,1,1,1,20000,1,18,70000,3000,4800,7100,11944,3000,0,8300,17,1,1500,0,632500,782500
6,263,1,3,56,1,1,1,1400,1,69,0,17000,9880,11608,72800,0,0,3200,11,0,0,0,19400,48400
6,1932,0,2,27,1,1,1,10000,1,608,30000,45000,7800,6360,9240,0,0,750,15,1,1000,0,8000,30000
6,3074,0,1,75,3,5,6,0,1,999,0,0,0,1200,0,0,0,7568,7,0,0,0,0,0
6,3133,1,2,47,1,5,5,10,1,858,0,25000,3900,4140,3340.6,0,0,5338,12,0,0,60,570,570
6,3198,0,2,45,4,1,1,0,1,769,5538,0,3640,4250.52,8400,0,0,0,9,0,0,0,500,7500
6,4672,2,2,43,5,5,5,0,1,0,0,0,1560,2172,4420,0,0,0,11,0,0,0,1200,1200
6,6030,5,5,27,1,5,1,0,1,0,24120,0,11440,6754.88,5744,0,0,0,11,0,0,0,43500,43500
6,3075,0,4,26,4,5,3,0,1,0,0,0,5200,4848,0,0,0,0,11,0,0,0,0,0
6,3327,0,2,24,1,5,1,0,1,749,19050,566,3120,5304,2929.76,0,0,972,10,0,0,0,0,0
6,2945,3,5,45,5,1,1,0,1,17,0,0,0,3786,2050,20,0,0,11,0,0,0,3700,48700
6,4671,0,2,31,1,5,3,0,1,999,30160,0,3120,4800,0,0,0,0,8,0,0,0,0,0
6,3325,0,5,29,1,5,1,0,1,999,18314,0,11440,7944,1740,0,0,0,11,0,0,0,5000,5000
6,7255,6,3,26,1,5,1,0,1,999,21961,5000,1820,6600,3000,0,0,5880,9,0,0,0,-49500,-49500
6,256,0,1,57,4,1,5,300,2,857,0,0,520,8984,0,0,0,200,14,0,0,0,-4700,45300
6,257,0,4,37,5,5,3,0,2,317,11200,0,2080,1500,580,100,5,50,14,0,0,0,800,800
6,1922,0,1,35,2,5,1,1500,2,747,26000,0,1040,5976,770,0,0,0,14,0,0,0,1800,1800
6,42,8,1,54,4,5,1,700,2,669,19000,0,2860,8100,7040,0,0,1207,14,0,0,0,56700,56700
6,732,0,1,30,2,1,1,7000,2,669,74000,0,5044,10620,10835,85,0,2700,17,1,6,7000,36006,38006
6,7028,8,2,25,2,5,3,0,2,777,3500,0,8060,6576,0,0,0,0,11,0,0,0,-2700,-2700
6,3227,0,1,39,5,5,3,0,2,857,21000,0,5512,9600,0,0,0,40,15,0,0,0,0,0
